n,length,length_total,width,thickness,type
266,88,88,28,9,Bromme
267,82,82,35,7,Bromme
268,65,65,18,6,Bromme
269,67,67,21,5,Bromme
270,42,42,15,5,Bromme
271,52,56,17,5,Bromme
272,50,50,16,7,Bromme
273,28,36,17,4,Bromme
274,63,63,17,5,Bromme
275,71,71,19,6,Bromme
276,72,77,27,8,Bromme
277,69,69,18,6,Bromme
278,51,51,19,5,Bromme
279,54,59,20,8,Bromme
280,64,64,27,4,Bromme
281,59,59,21,7,Bromme
282,66,66,24,6,Bromme
283,77,77,25,6,Bromme
284,33,35,16,4,Bromme
285,42,42,17,4,Bromme
286,57,57,16,6,Bromme
287,65,65,20,6,Bromme
288,60,60,15,3,Bromme
289,79,82,20,6,Bromme
290,58,58,23,6,Bromme
291,58,60,12,3,Bromme
292,44,44,13,5,Bromme
293,56,63,17,4,Bromme
294,78,78,24,5,Bromme
295,62,62,27,10,Bromme
296,72,74,20,10,Bromme
297,58,58,19,3,Bromme
298,66,66,20,8,Bromme
299,65,65,31,11,Bromme
300,45,45,15,5,Bromme
301,46,46,17,5,Bromme
302,51,51,19,6,Bromme
303,60,60,20,7,Bromme
304,84,84,34,11,Bromme
305,82,82,29,7,Bromme
306,95,95,23,11,Bromme
307,105,105,27,11,Bromme
308,61,61,32,9,Bromme
309,74,74,17,7,Bromme
310,56,56,16,4,Bromme
311,66,71,26,9,Bromme
312,53,53,19,6,Bromme
313,83,83,17,6,Bromme
314,74,74,23,6,Bromme
315,114,114,21,8,Bromme
316,80,80,20,5,Bromme
317,86,86,23,11,Bromme
318,65,65,24,7,Bromme
319,64,64,21,7,Bromme
320,44,44,16,5,Bromme
321,54,56,25,8,Bromme
322,76,78,23,7,Bromme
323,75,75,21,4,Bromme
324,87,87,24,8,Bromme
325,95,95,30,11,Bromme
326,89,89,31,8,Bromme
327,110,110,34,11,Bromme
328,91,91,29,9,Bromme
329,86,86,23,9,Bromme
330,48,50,22,8,Bromme
331,87,87,28,11,Bromme
332,68,68,24,6,Bromme
333,77,86,28,11,Bromme
334,66,66,22,5,Bromme
335,96,111,25,7,Bromme
336,142,142,50,14,Bromme
337,130,130,44,18,Bromme
338,76,80,34,8,Bromme
339,80,81,23,11,Bromme
340,77,77,31,14,Bromme
341,79,79,23,6,Bromme
342,96,100,26,10,Bromme
343,85,91,36,11,Bromme
344,98,98,22,6,Bromme
345,73,73,26,9,Bromme
346,56,58,19,4,Bromme
347,76,76,20,8,Bromme
348,61,61,20,6,Bromme
349,71,73,27,7,Bromme
350,66,66,21,7,Bromme
351,65,65,19,7,Bromme
352,45,45,19,6,Bromme
353,60,60,30,7,Bromme
354,82,82,28,9,Bromme
355,64,64,20,9,Bromme
356,57,58,21,5,Bromme
357,94,94,37,13,Bromme
358,69,72,26,10,Bromme
359,62,62,17,4,Bromme
360,68,68,15,5,Bromme
361,77,77,23,9,Bromme
362,73,74,20,7,Bromme
363,68,68,25,5,Bromme
364,92,92,27,6,Bromme
365,77,77,28,9,Bromme
366,109,109,31,8,Bromme
367,86,86,28,6,Bromme
368,88,88,30,10,Bromme
369,96,96,31,8,Bromme
370,77,81,25,6,Bromme
371,77,78,25,7,Bromme
372,87,88,34,8,Bromme
373,84,84,32,7,Bromme
374,64,64,19,6,Bromme
375,57,61,21,6,Bromme
376,72,84,27,7,Bromme
377,89,89,27,7,Bromme
378,67,79,27,9,Bromme
379,75,75,21,6,Bromme
380,66,66,29,11,Bromme
381,67,70,25,6,Bromme
382,67,67,17,6,Bromme
383,95,95,31,11,Bromme
384,97,100,26,6,Bromme
385,90,90,35,8,Bromme
386,66,66,29,10,Bromme
387,61,70,22,6,Bromme
388,61,61,24,7,Bromme
389,63,63,20,8,Bromme
390,65,65,16,8,Bromme
391,44,46,19,8,Bromme
392,44,44,13,5,Bromme
393,64,64,21,9,Bromme
394,45,50,15,5,Bromme
395,69,69,15,4,Bromme
396,65,65,16,8,Bromme
397,53,53,13,7,Bromme
398,56,67,16,5,Bromme
399,99,99,37,12,Bromme
400,41,46,17,4,Bromme
401,59,59,23,8,Bromme
402,59,59,16,7,Bromme
403,56,56,19,5,Bromme
404,51,54,20,7,Bromme
405,47,51,9,4,Bromme
406,35,35,13,4,Bromme
407,48,48,11,4,Bromme
408,44,44,21,6,Bromme
409,61,61,15,6,Bromme
410,47,47,13,7,Bromme
411,62,62,22,7,Bromme
412,49,49,18,8,Bromme
413,50,50,19,8,Bromme
414,65,65,22,6,Bromme
415,49,49,17,5,Bromme
416,67,67,23,13,Bromme
417,65,65,23,5,Bromme
418,61,61,20,9,Bromme
419,55,55,16,5,Bromme
420,45,45,13,5,Bromme
421,61,61,25,7,Bromme
422,55,55,21,5,Bromme
423,57,57,17,4,Bromme
424,47,47,21,5,Bromme
425,59,59,19,4,Bromme
426,40,40,19,7,Bromme
427,75,75,25,5,Bromme
428,63,63,20,5,Ahrensburgian
429,76,76,21,6,Ahrensburgian
430,36,36,14,3,Ahrensburgian
431,37,37,16,3,Ahrensburgian
432,26,26,11,3,Ahrensburgian
433,30,30,13,4,Ahrensburgian
434,31,34,14,3,Ahrensburgian
435,29,34,11,2,Ahrensburgian
436,32,32,13,3,Ahrensburgian
437,27,27,10,2,Ahrensburgian
438,25,25,12,3,Ahrensburgian
