,LE01,TR03,TA01,KNTR01,TR01,OB01,TALE01,TASQ01,TABA01,TATR01,TATP03,TR02,LESQ01,TALESQ01,TP01,TA03,TALETRSQ01,BA01,LETP01
3700-3600(p1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3450(p2),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3200(p3),2,5,0,0,3,1,1,0,0,0,0,0,0,0,6,0,0,3,0
3100(p4),0,3,1,0,5,1,3,0,0,0,0,0,0,0,6,0,0,2,0
3050-3010(p5),1,4,2,2,26,2,11,0,0,0,0,0,0,0,0,4,1,3,0
3010-2930(p6),2,7,3,4,27,1,1,0,0,0,0,2,1,5,1,0,0,0,0
2850-2750(p7),3,4,4,2,10,0,3,1,0,0,1,2,0,0,0,0,0,0,0
2750-2600(p8),4,3,7,6,10,0,8,0,1,2,0,0,0,0,0,0,0,0,0
2600-1650(p9),8,2,14,4,9,1,4,1,9,0,0,0,0,0,0,0,0,0,0
