id,group,site,mound,grave,name,raion,oblast,latitude,longitude,interment,sex,age,grave_type,shaft,gangway,steps,dromos,entrance_screen,boards,organic_lining,body_position,leg_position,ochre,charcoal,chalk,fire,mask,tar,animal_bones,axe_hammer,macehead,arrowhead,spearhead,bow,bronze_knife,bola,wooden_javelin,polishing_plate,arrow_straightener,awl,grindstone,scraper,punch,hammerstone,perforator,casting_mould,tuyere,digging_tool,adze,melting_pot,flint_knife,wooden_cup,wooden_bowl,pottery,body_ornament
11,Budzhak,Nikolskoe,11,6,Nikolskoe 11/6,Slobozia,Moldova,46.88,29.86,single,NA,adult,pit with niche,h elliptical,absent,present,present,absent,absent,absent,supine,bent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
12,Budzhak,Nikolskoe,13,7,Nikolskoe 13/7,Slobozia,Moldova,46.88,29.86,single,NA,adult,pit with niche,h elliptical,absent,present,present,absent,absent,present,supine,bent,absent,present,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
13,Budzhak,Novoselitsa,19,20,Novoselitsa 19/20,Tatarbunary,Odessa,45.82,29.7,single,NA,adult,pit with niche,h elliptical,absent,present,present,absent,absent,present,left side,bent,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
14,Budzhak,Novoselitsa,19,21,Novoselitsa 19/21,Tatarbunary,Odessa,45.82,29.7,single,male,adult,pit with niche,h elliptical,absent,absent,present,absent,absent,absent,supine,bent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
15,Budzhak,Novoselitsa,19,22,Novoselitsa 19/22,Tatarbunary,Odessa,45.82,29.7,single,NA,adult,pit with niche,circular,absent,absent,present,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
16,Budzhak,Novye Raskaetsy,1,7,Novye Raskaetsy 1/7,Shtefan Vode,Moldova,46.53,29.77,single,NA,adult,pit with niche,t rectangular,absent,present,present,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
17,Budzhak,Novye Raskaetsy,1,8,Novye Raskaetsy 1/8,Shtefan Vode,Moldova,46.53,29.77,collective,NA,NA,NA,NA,absent,absent,absent,absent,absent,present,NA,NA,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
18,Budzhak,Novye Raskaetsy,1,12,Novye Raskaetsy 1/12,Shtefan Vode,Moldova,46.53,29.77,single,NA,adult,pit with niche,h elliptical,absent,absent,present,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,present,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
19,Budzhak,Novye Raskaetsy,1,21,Novye Raskaetsy 1/21,Shtefan Vode,Moldova,46.53,29.77,single,NA,adult,pit with niche,t rectangular,absent,absent,present,absent,absent,present,left side,bent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
20,Budzhak,Novye Raskaetsy,1,32,Novye Raskaetsy 1/32,Shtefan Vode,Moldova,46.53,29.77,single,NA,adult,pit with niche,t rectangular,absent,absent,present,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
